,datetime,usage
567,20190826T08-05,49151
568,20190826T07-05,48821
569,20190826T06-05,46180
570,20190826T05-05,44735
571,20190826T04-05,44676
572,20190826T03-05,45420
573,20190826T02-05,46797
574,20190826T01-05,48926
575,20190826T00-05,52045
576,20190825T23-05,56011
577,20190825T22-05,59758
578,20190825T21-05,62179
579,20190825T20-05,63366
580,20190825T19-05,65103
581,20190825T18-05,65637
582,20190825T17-05,65334
583,20190825T16-05,64311
584,20190825T15-05,63043
585,20190825T14-05,61526
586,20190825T13-05,59567
587,20190825T12-05,56027
588,20190825T11-05,51616
589,20190825T10-05,47198
590,20190825T09-05,43348
591,20190825T08-05,40880
592,20190825T07-05,40594
593,20190825T06-05,40394
594,20190825T05-05,40580
595,20190825T04-05,41279
596,20190825T03-05,42472
597,20190825T02-05,44124
598,20190825T01-05,46335
599,20190825T00-05,49070
600,20190824T23-05,52101
601,20190824T22-05,55067
602,20190824T21-05,57341
603,20190824T20-05,58567
604,20190824T19-05,61071
605,20190824T18-05,63290
606,20190824T17-05,64598
607,20190824T16-05,64668
608,20190824T15-05,63529
609,20190824T14-05,61287
610,20190824T13-05,58460
611,20190824T12-05,55220
612,20190824T11-05,51321
613,20190824T10-05,47544
614,20190824T09-05,44367
615,20190824T08-05,42033
616,20190824T07-05,41461
617,20190824T06-05,40885
618,20190824T05-05,40787
619,20190824T04-05,41307
620,20190824T03-05,42520
621,20190824T02-05,44198
622,20190824T01-05,46449
623,20190824T00-05,49427
624,20190823T23-05,52632
625,20190823T22-05,55748
626,20190823T21-05,57799
627,20190823T20-05,59071
628,20190823T19-05,61616
629,20190823T18-05,64005
630,20190823T17-05,65663
631,20190823T16-05,65918
632,20190823T15-05,65536
633,20190823T14-05,64550
634,20190823T13-05,62569
635,20190823T12-05,59719
636,20190823T11-05,56184
637,20190823T10-05,52583
638,20190823T09-05,49321
639,20190823T08-05,47427
640,20190823T07-05,47036
641,20190823T06-05,44983
642,20190823T05-05,43919
643,20190823T04-05,44136
644,20190823T03-05,45317
645,20190823T02-05,47088
646,20190823T01-05,49528
647,20190823T00-05,52925
648,20190822T23-05,57223
649,20190822T22-05,61449
650,20190822T21-05,64319
651,20190822T20-05,66275
652,20190822T19-05,68913
653,20190822T18-05,70678
654,20190822T17-05,71083
655,20190822T16-05,70461
656,20190822T15-05,69068
657,20190822T14-05,66682
658,20190822T13-05,63407
659,20190822T12-05,60075
660,20190822T11-05,56528
661,20190822T10-05,52701
662,20190822T09-05,49226
663,20190822T08-05,47243
664,20190822T07-05,46824
665,20190822T06-05,44696
666,20190822T05-05,43543
667,20190822T04-05,43856
668,20190822T03-05,45055
669,20190822T02-05,46966
670,20190822T01-05,49557
671,20190822T00-05,53297
672,20190821T23-05,57712
673,20190821T22-05,62263
674,20190821T21-05,65271
675,20190821T20-05,67213
676,20190821T19-05,69779
677,20190821T18-05,71433
678,20190821T17-05,71623
679,20190821T16-05,70879
680,20190821T15-05,69715
681,20190821T14-05,67466
682,20190821T13-05,64378
683,20190821T12-05,60828
684,20190821T11-05,56831
685,20190821T10-05,52725
686,20190821T09-05,49309
687,20190821T08-05,47464
688,20190821T07-05,47161
689,20190821T06-05,45009
690,20190821T05-05,43825
691,20190821T04-05,44039
692,20190821T03-05,45266
693,20190821T02-05,47270
694,20190821T01-05,49962
695,20190821T00-05,53485
696,20190820T23-05,57900
697,20190820T22-05,62400
698,20190820T21-05,65446
699,20190820T20-05,67321
700,20190820T19-05,69665
701,20190820T18-05,71128
702,20190820T17-05,71107
703,20190820T16-05,70198
704,20190820T15-05,68857
705,20190820T14-05,67427
706,20190820T13-05,65445
707,20190820T12-05,62533
708,20190820T11-05,58506
709,20190820T10-05,54367
710,20190820T09-05,50594
711,20190820T08-05,48819
712,20190820T07-05,48576
713,20190820T06-05,46594
714,20190820T05-05,45673
715,20190820T04-05,46055
716,20190820T03-05,47245
717,20190820T02-05,49298
718,20190820T01-05,51950
719,20190820T00-05,55637
720,20190819T23-05,60130
